LOCATION ADDRESS,PERMIT TYPE,FILMING DAYS
"101 FWY., 110 FWY., 10 FWY., HIGHLAND AVE., LOS ANGELES, 90017",Filming,2
"101 FWY., 110 FWY., 10 FWY., MISSION RD., LOS ANGELES, CA, 90012",Filming,1
"101 FWY., 110 FWY., 10 FWY., WESTERN AVE, (Inclusive, excluding Freeways, Highways and Parks), Los Angeles, CA, 90006",Filming,1
"101 FWY., 110 FWY., 5 FWY., 10 FWY. (INCLUSIVE, EXCLUDES FREEWAYS), LOS ANGELES, CA, 90012",Still,1
"101 Fwy., 1st St., 6th St., Alameda St. (Excludes Activity on the Freeway, Traction Ave, and 3rd St) , Los Angeles, CA, 90012",Still,1
"101 Fwy., 5 Fwy., 10 Fwy., Alvarado St (Inclusive. Excludes driving on freeways) , Los Angeles, CA, 90013",Filming,1
"101 FWY., 5 FWY., 10 FWY., LOS ANGELES RIVERBED, los angeles, 90023",Filming,2
"101 Fwy., 60 Fwy., Indiana St., Cesar Chavez Ave., Evergreen Ave., Wabash Ave. (Inclusive. Excludes activity on Freeways)  , Los angeles , CA, 90033",Filming,1
"101 Fwy., Alameda, 8th st., Alvarado St. (Inclusive, excluding Chinatown, State Hwys and Special Conditioned Areas), Los Angeles, CA, 90012",Filming,1
"101 FWY., ALVARADO ST., HOOVER BL., 10 FWY., 110 FWY. (INCLUSIVE, EXCLUDES FREEWAYS), Los Angeles, CA, 90039",Filming,20
"101 FWY., LOS FELIZ BLVD., 5 FWY., 134 FWY. INCLUSIVE (EXCLUDING FREEWAYS), LOS ANGELES, CA, 90068",Filming,10
"101 FWY., Melrose Ave., Franklin Ave., Fairfax Ave. Inclusive, Los Angeles, CA, 90028",Filming,1
"101 FWY., MOORPARK ST., COLDWATER CANYON AVE., SUNSET BLVD. (INCLUSIVE, EXCLUDING STATE HWYS), LOS ANGELES, CA, 91602",Filming,1
"101 FWY., MULHOLLAND DR., 405 FWY,. TOPANGA CANYON BLVD (Inclusive, excluding State Hwys), LOS ANGELES, CA, 91356",Filming,2
"101 Fwy., Victory Blvd., Topanga Canyon Blvd., Los Angeles City Limit. (Inclusive) , Los Angeles , 91367",Filming,1
"101 Fwy., Western Ave., Los Felize Blvd., Riverside Dr., Glendale Blvd. (Inclusive. Excludes activity on Freeways) , Los Angeles , 90028",Filming,2
"101 Judge John Aiso St, Los Angeles, CA, 90012",Filming,1
"101 N Boyle Ave, Los Angeles, CA, 90033",Filming,2
"101 N Windsor Blvd, Los Angeles, CA, 90004",Filming,1
"101 S Hudson Ave, Los Angeles, CA, 90004",Filming,3
"101 S Robertson Blvd, Los Angeles, CA, 90048",Filming,1
"101 S. Hill St., Los Angeles, CA 90012",Filming,1
"101 W 31st St, Los Angeles, CA, 90007",Filming,1
"101 W. 3rd St., Los Angeles, CA, 90011",Filming,1
"101, 110, 10, santa monica, and la ceinega (inclusive, excluding freeways/highways & special conditioned areas), Los Angeles, CA, 90010",Filming,3
